Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2014T3;97,780
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2014T2;97,608
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2014T1;95,786
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2013T4;96,853
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2013T3;98,180
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2013T2;97,458
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2013T1;97,692
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2012T4;103,576
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2012T3;104,792
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2012T2;107,454
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2012T1;111,673
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2011T4;117,954
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2011T3;122,747
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2011T2;126,550
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2011T1;126,266
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2010T4;133,720
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2010T3;133,191
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2010T2;135,448
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2010T1;134,734
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2009T4;136,203
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2009T3;135,816
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2009T2;136,685
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2009T1;135,086
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2008T4;138,605
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2008T3;144,405
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2008T2;147,412
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2008T1;149,799
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2007T4;150,191
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2007T3;151,053
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2007T2;148,886
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2007T1;144,341
Nacional;02 Aragón;Vivienda nueva;Índice;2025T2;183,466
Nacional;02 Aragón;Vivienda nueva;Índice;2025T1;179,226
Nacional;02 Aragón;Vivienda nueva;Índice;2024T4;170,950
Nacional;02 Aragón;Vivienda nueva;Índice;2024T3;171,532
Nacional;02 Aragón;Vivienda nueva;Índice;2024T2;167,734
Nacional;02 Aragón;Vivienda nueva;Índice;2024T1;163,112
Nacional;02 Aragón;Vivienda nueva;Índice;2023T4;149,775
Nacional;02 Aragón;Vivienda nueva;Índice;2023T3;154,393
Nacional;02 Aragón;Vivienda nueva;Índice;2023T2;147,908
Nacional;02 Aragón;Vivienda nueva;Índice;2023T1;145,894
Nacional;02 Aragón;Vivienda nueva;Índice;2022T4;138,293
Nacional;02 Aragón;Vivienda nueva;Índice;2022T3;137,409
Nacional;02 Aragón;Vivienda nueva;Índice;2022T2;134,404
Nacional;02 Aragón;Vivienda nueva;Índice;2022T1;135,751
Nacional;02 Aragón;Vivienda nueva;Índice;2021T4;131,674
Nacional;02 Aragón;Vivienda nueva;Índice;2021T3;130,261
