Grupos ECOICOP;Tipo de dato;Periodo;Total
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M04;112,682
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M03;112,312
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M02;112,134
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M01;112,007
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M12;112,330
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M11;112,289
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M10;112,175
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M09;111,844
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M08;111,730
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M07;111,617
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M06;112,367
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M05;112,130
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M04;111,823
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M03;111,173
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M02;110,557
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2023M01;110,157
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M12;110,166
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M11;109,386
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M10;108,580
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M09;107,695
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M08;107,174
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M07;106,867
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M06;106,704
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M05;105,984
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M04;105,164
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M03;103,616
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M02;102,689
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2022M01;102,099
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M12;101,549
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M11;101,033
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M10;100,529
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M09;99,937
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M08;99,647
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M07;99,692
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M06;100,156
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M05;100,065
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M04;99,736
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M03;99,417
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M02;99,040
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2021M01;99,198
